N,detuning,g,kappa,Gamma,omega,Lambda,scale,Tmax,intracavity_photon_number,spin_state,spin_command
4,-1.300000000000038,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0067399936254868,y,""""""
4,-0.7000000000000401,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0079014993210985,y,""""""
4,-8.500000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003092006887635,y,""""""
4,-9.900000000000007,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005689929759481,y,""""""
4,-10.000000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005445441814906,y,""""""
4,-8.600000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003336643318758,y,""""""
4,-0.8000000000000398,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0080777203980727,y,""""""
4,-1.4000000000000377,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0059046896158451,y,""""""
4,-1.000000000000039,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0083494844271536,y,""""""
4,-1.600000000000037,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0045333356361332,y,""""""
4,-9.800000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006029757006735,y,""""""
4,-8.400000000000013,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002732906848418,y,""""""
4,-8.300000000000013,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002333912910909,y,""""""
4,-9.700000000000008,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006331933423935,y,""""""
4,-1.5000000000000373,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0051516120070833,y,""""""
4,-0.9000000000000394,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0082881905628312,y,""""""
4,-0.5000000000000409,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0081480756447477,y,""""""
4,-1.900000000000036,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0035669840826568,y,""""""
4,-9.30000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005018142549461,y,""""""
4,-8.700000000000012,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000344719161654,y,""""""
4,-8.800000000000011,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000347936188128,y,""""""
4,-9.40000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0005671169836048,y,""""""
4,-2.0000000000000355,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0034751099991616,y,""""""
4,-0.6000000000000405,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0079001823629218,y,""""""
4,-1.8000000000000362,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0037550139613374,y,""""""
4,-0.4000000000000412,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0086586450398828,y,""""""
4,-10.200000000000006,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000547031587201,y,""""""
4,-9.00000000000001,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003663634552715,y,""""""
4,-9.600000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006426312931351,y,""""""
4,-9.500000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0006195251130473,y,""""""
4,-8.900000000000011,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0003524464252395,y,""""""
4,-10.100000000000009,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.000536778335095,y,""""""
4,-0.3000000000000415,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0093795071236417,y,""""""
4,-1.7000000000000366,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0040705083288747,y,""""""
4,-11.7,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0002887769562517,y,""""""
4,-6.40000000000002,3.7,1.0,0.36,10.0,0.1,1.0,60.0,0.0001250953531446,y,""""""
